country,year,disease,average
Sudan,2008,Cardiovascular disease,0.8581714
Sudan,2008,Respiratory disease,0.7522277
Suriname,2008,Cancer,0.36656365
Suriname,2008,Cardiovascular disease,0.56642723
Suriname,2008,Respiratory disease,0.16201828
Swaziland,2008,Cancer,0.42047006
Swaziland,2008,Cardiovascular disease,0.9400645
Swaziland,2008,Respiratory disease,1.5738919
Sweden,2008,Cancer,0.43484512
Sweden,2008,Cardiovascular disease,0.13478239
Sweden,2008,Respiratory disease,0.10415461
Switzerland,2008,Cancer,0.45640767
Switzerland,2008,Cardiovascular disease,0.100660264
Switzerland,2008,Respiratory disease,0.08100914
Syrian Arab Republic,2008,Cancer,0.26953208
Syrian Arab Republic,2008,Cardiovascular disease,0.55789673
Syrian Arab Republic,2008,Respiratory disease,0.31246385
Tajikistan,2008,Cancer,0.45281392
Tajikistan,2008,Cardiovascular disease,0.72850734
Tajikistan,2008,Respiratory disease,0.35875478
Thailand,2008,Cancer,0.48875153
Thailand,2008,Cardiovascular disease,0.4162899
Thailand,2008,Respiratory disease,0.42819118
The former Yugoslav Republic of Macedonia,2008,Cancer,0.63609576
The former Yugoslav Republic of Macedonia,2008,Cardiovascular disease,0.48453414
The former Yugoslav Republic of Macedonia,2008,Respiratory disease,0.18516375
Timor-Leste,2008,Cancer,0.5067203
Timor-Leste,2008,Cardiovascular disease,0.4435876
Timor-Leste,2008,Respiratory disease,0.6133549
Togo,2008,Cancer,0.51390785
Togo,2008,Cardiovascular disease,0.63125926
Togo,2008,Respiratory disease,1.0299734
Tonga,2008,Cancer,0.37734494
Tonga,2008,Cardiovascular disease,0.7609233
Tonga,2008,Respiratory disease,0.64807314
Trinidad and Tobago,2008,Cancer,0.46000144
Trinidad and Tobago,2008,Cardiovascular disease,0.64490813
Trinidad and Tobago,2008,Respiratory disease,0.20830922
Tunisia,2008,Cancer,0.45640767
Tunisia,2008,Cardiovascular disease,0.22349991
Tunisia,2008,Respiratory disease,0.15044555
Turkey,2008,Cancer,0.58578306
Turkey,2008,Cardiovascular disease,0.45723644
Turkey,2008,Respiratory disease,0.34718204
Turkmenistan,2008,Cancer,0.6181269
Turkmenistan,2008,Cardiovascular disease,1.3785337
Turkmenistan,2008,Respiratory disease,0.48605487
Tuvalu,2008,Cancer,0.6756271
Tuvalu,2008,Cardiovascular disease,1.0680225
Tuvalu,2008,Respiratory disease,0.914246
Uganda,2008,Cancer,0.6864084
Uganda,2008,Cardiovascular disease,0.7182707
Uganda,2008,Respiratory disease,1.2845736
Ukraine,2008,Cancer,0.6109394
Ukraine,2008,Cardiovascular disease,0.8530531
Ukraine,2008,Respiratory disease,0.27774563
United Arab Emirates,2008,Cancer,0.28031337
United Arab Emirates,2008,Cardiovascular disease,0.3599884
United Arab Emirates,2008,Respiratory disease,0.13887282
United Kingdom,2008,Cancer,0.5175016
United Kingdom,2008,Cardiovascular disease,0.15525566
United Kingdom,2008,Respiratory disease,0.23145469
United Republic of Tanzania,2008,Cancer,0.40609503
United Republic of Tanzania,2008,Cardiovascular disease,0.5817822
United Republic of Tanzania,2008,Respiratory disease,0.9952552
United States of America,2008,Cancer,0.51390785
United States of America,2008,Cardiovascular disease,0.23373654
United States of America,2008,Respiratory disease,0.27774563
Uruguay,2008,Cancer,0.7115647
Uruguay,2008,Cardiovascular disease,0.28491974
Uruguay,2008,Respiratory disease,0.31246385
Uzbekistan,2008,Cancer,0.40609503
Uzbekistan,2008,Cardiovascular disease,0.9690683
Uzbekistan,2008,Respiratory disease,0.32403657
Vanuatu,2008,Cancer,0.5462517
Vanuatu,2008,Cardiovascular disease,0.6670875
Vanuatu,2008,Respiratory disease,0.6133549
Venezuela (Bolivarian Republic of),2008,Cancer,0.40250126
Venezuela (Bolivarian Republic of),2008,Cardiovascular disease,0.34122124
Venezuela (Bolivarian Republic of),2008,Respiratory disease,0.16201828
Viet Nam,2008,Cancer,0.6037519
Viet Nam,2008,Cardiovascular disease,0.39581662
Viet Nam,2008,Respiratory disease,0.4397639
Yemen,2008,Cancer,0.40250126
Yemen,2008,Cardiovascular disease,0.7165646
Yemen,2008,Respiratory disease,0.5323458
Zambia,2008,Cancer,0.59656435
Zambia,2008,Cardiovascular disease,0.89911795
Zambia,2008,Respiratory disease,1.5623192
Zimbabwe,2008,Cancer,0.5642205
Zimbabwe,2008,Cardiovascular disease,0.35145786
Zimbabwe,2008,Respiratory disease,0.5902095
